# lams weight z
2.300000000000000000e+01 4.893768605926049873e+06 1.010000000000000009e+00
2.500000000000000000e+01 3.389051492842323147e+06 1.169999999999999929e+00
3.700000000000000000e+01 3.735822344283036888e+06 9.799999999999999822e-01
5.300000000000000000e+01 4.867185295788402669e+06 9.599999999999999645e-01
3.200000000000000000e+01 3.525547333215223160e+06 7.900000000000000355e-01
3.400000000000000000e+01 5.548689462395265698e+06 1.100000000000000089e+00
3.300000000000000000e+01 5.597687020063847303e+06 1.449999999999999956e+00
2.900000000000000000e+01 4.542671410542005673e+06 1.120000000000000107e+00
2.600000000000000000e+01 3.125491197128357366e+06 1.080000000000000071e+00
2.800000000000000000e+01 3.097837445248709526e+06 9.599999999999999645e-01
2.300000000000000000e+01 3.018947046717739198e+06 1.010000000000000009e+00
3.200000000000000000e+01 3.720386244525993243e+06 1.120000000000000107e+00
3.100000000000000000e+01 5.266556096964888275e+06 9.799999999999999822e-01
2.800000000000000000e+01 6.401972933901220560e+06 9.399999999999999467e-01
2.600000000000000000e+01 6.740071115216943435e+06 1.060000000000000053e+00
2.600000000000000000e+01 3.508973485239643604e+06 1.370000000000000107e+00
2.200000000000000000e+01 3.760862107363281306e+06 1.050000000000000044e+00
2.500000000000000000e+01 3.054821297247211915e+06 1.139999999999999902e+00
2.400000000000000000e+01 6.523285334064576775e+06 8.599999999999999867e-01
4.300000000000000000e+01 6.365459372036771849e+06 1.209999999999999964e+00
2.100000000000000000e+01 3.832858662819831166e+06 9.599999999999999645e-01
2.400000000000000000e+01 5.168569832929662429e+06 9.300000000000000488e-01
3.100000000000000000e+01 4.771390494335915893e+06 9.100000000000000311e-01
2.300000000000000000e+01 3.055524728594888002e+06 7.900000000000000355e-01
2.300000000000000000e+01 3.662202342101485468e+06 1.320000000000000062e+00
2.700000000000000000e+01 4.537253688165280968e+06 1.189999999999999947e+00
3.100000000000000000e+01 3.569839839975402225e+06 1.459999999999999964e+00
4.400000000000000000e+01 3.350506912873967551e+06 1.189999999999999947e+00
4.400000000000000000e+01 4.441213589684559032e+06 1.090000000000000080e+00
3.000000000000000000e+01 3.681795544529093895e+06 9.599999999999999645e-01
3.300000000000000000e+01 3.530462020782334730e+06 9.599999999999999645e-01
3.600000000000000000e+01 3.331725937737064902e+06 1.209999999999999964e+00
2.800000000000000000e+01 2.533224402859240305e+06 8.499999999999999778e-01
3.700000000000000000e+01 3.597566236428225413e+06 9.399999999999999467e-01
2.400000000000000000e+01 4.076174915926340967e+06 1.489999999999999991e+00
3.400000000000000000e+01 3.537248324193094391e+06 1.080000000000000071e+00
4.200000000000000000e+01 3.418154364039910492e+06 1.409999999999999920e+00
4.300000000000000000e+01 3.801961255283576902e+06 9.899999999999999911e-01
4.200000000000000000e+01 3.580745177552967798e+06 1.439999999999999947e+00
2.400000000000000000e+01 2.796829104305303190e+06 1.290000000000000036e+00
5.200000000000000000e+01 3.608090322768821847e+06 9.300000000000000488e-01
4.000000000000000000e+01 3.306671364236215129e+06 1.030000000000000027e+00
